number	order	family	genus	drift_index	calcium	flow_ 0-5	flow_ 5-2	flow_ 25-	flow_ g75	f_exp_prot	f_exp_expo	shape_cyli	shape_sphe	shape_coni	shape_flat	shape_stre	drift_wc_none	drift_wc_weak	drift_wc_medi	drift_wc_high	drift_ws_none	drift_ws_weak	drift_ws_medi	drift_ws_high	diel_b_t-li	diel_b_d-li	diel_b_dawn	diel_b_noct	diel_b_none	traj_osci	traj_lin	traj_rand	traj_none	size_l.25	size_> .5	size_1-2 	size_2-4 	size_g4-8	aggreg_high	aggreg_weak	conceal_sold	conceal_patt	conceal_var-	conceal_case	conceal_net	flex_none	flex_weak	flex_high	locom_surf	locom_full	locom_craw	locom_burr	locom_inte	locom_temp	locom_perm	subs_flag	subs_grav	subs_sand	subs_silt	subs_macr	subs_micr	subs_twig	subs_orga	subs_mud
21	Trichoptera	Lepidostomatidae	Crunoecia	49.2	low	1	2	1	0	3	1	5	0	0	0	0	0	0	3	0	0	0	3	0	1	2	1	2	0					0	3	0	0	0	NA	NA	3	1	0	3	0	3	1	0	0	0	5	0	0	0	0	4	0	2	0	3	0	3	4	0
22	Plecoptera	Perlidae	Dinocras	50.4	low	0	1	3	3	2	1	3	0	0	1	0	1	3	0	0	3	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	3	0	2	3	3	1	1	0	0	3	2	0	0	0	5	0	0	0	0	4	1	1	0	2	0	0	0	1
23	Trichoptera	Hydropsychidae	Diplectrona	51.6	low	0	1	3	1	2	1	5	0	0	0	0	0	3	3	1	0	3	2	1	3	1	2	1	0	0	1	0	3	0	3	0	0	0	NA	NA	3	2	0	1	3	0	0	3	0	0	2	0	0	3	0	5	0	0	0	0	0	0	0	0
24	Plecoptera	Perlodidae	Diura	54	low	0	1	2	2	1	0	3	0	0	1	0	0	2	1	0	3	0	0	0	3	2	3	2	0	0	3	0	0	0	0	1	2	0	NA	NA	1	3	0	0	0	3	2	0	0	0	5	0	0	0	0	2	3	3	0	1	0	0	0	0
25	Diptera	Dixidae	Dixa	7	low	3	2	3	1	0	1	5	0	0	0	0	1	1	0	0	0	3	0	0	1	2	3	3	0	3	0	0	0	0	3	0	0	0	1	1	3	1	0	0	0	0	0	3	3	1	1	0	0	1	0	4	0	0	0	3	0	1	3	0
26	Diptera	Dixidae	Dixidae	7	low	3	2	3	1	0	1	5	0	0	0	0	1	1	0	0	0	3	0	0	1	2	3	3	0	3	0	0	0	0	3	0	0	0	1	1	3	1	0	0	0	0	0	3	3	1.5	1	0	0	1	0	3.5	0	0	0	2.5	0	1.5	3	0
27	Trichoptera	Limnephilidae	Drusus	NA	low	0	1	2	3	2	1	5	0	1	0	0	0	0	3	2	3	0	0	0	5	3	1	1	0	0	3	1	0	0	0	3	0	0	2	1	3	0	0	3	0	3	1	0	0	0	5	0	0	0	0	4	1	0	0	2	0	0	2	1
28	Coleoptera	Dryopidae	Dryops	34	low	3	1	1	0	3	0	5	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	1	5	0	3	0	0	3	0	0	0	0	1	1	3	0	0	0	0	0	3	0	0	0	3	3	0	0	0	1	1	0	0	1	1	3	3	2
29	Coleoptera	Dytiscidae	Dytiscidae_larvae	NA	low	3	0.62962963	0.148148148	0	3	0	5	0	0	0	0	0	2	1	0	0	2	1	0	1	1	1	1	1	0	3	1	0	1.740740741	0.740740741	0.740740741	0.111111111	0.037037037	2	1	3	0	0	0	0	0	3	0	0	0	5	0	0.037037037	0	0	0.111111111	0.407407407	0.407407407	0.296296296	2.62962963	0	0	2.518518519	2.37037037
30	Trichoptera	Limnephilidae	Ecclisopteryx	NA	low	3	3	2	1	1	0	5	0	0	0	0	0	0	3	1	0	3	0	0	0	0	1	1	0	0	3	0	1	0	0	3	0	0	3	1	3	1	0	3	0	3	1	0	0	0	5	0	0	0	0	3	2	0	0	0	2	0	0	0
31	Ephemeroptera	Heptageniidae	Ecdyonurus	63.6	low	1	2	3	2	1	3	0	0	0	3	2	3	1	0	0	1	3	0	0	2	0	5	1	0	1	1	0	2	0	0	3	0	0	1	1	0	3	2	0	0	0	3	0	0	1	5	0	0	0	0	4	1	1	1	0	0	1	0	0
32	Ephemeroptera	Heptageniidae	Electrogena	63.6	low	0	3	0	0	1	3	0	0	0	3	2	1	3	1	0	0	3	2	0	1	0	4	2	0	1	1	0	2	0	0	3	0	0	NA	NA	2	2	0	0	0	0	3	0	0	1	5	0	0	0	0	4	0	0	0	0	0	1	1	1
33	Coleoptera	Elmidae	Elmis	34	low	0	3	3	3	2	1	0	0	0	5	0	0	3	0	0	0	2	1	0	0	1	0	3	5	0	3	0	0	3	0	0	0	0	3	1	3	0	0	0	0	2	3	0	0	0	4	0	1	0	0	3	3	1	0	3	0	0	0	0
34	Diptera	Empididae	Empididae	49.2	low	0	0.5	1	2	2	1.5	5	0	0	0	0	0	1.5	1	0.5	0	1.5	1	0.5	0	0	0	1.5	1.5	0	2	0	0	0	3	0	0	0	1	1.5	3	0.5	0	0	0	0	1	1.5	0	0	2	1	1	0	0	3.5	2	1	0.5	3.5	0	2	1	1
35	Ephemeroptera	Ephemeridae	Ephemera	12	low	1	3	2	0	3	0	5	0	0	0	0	0	3	0	0	0	3	0	0	0	0	3	1	0	1	0	0	3	0	0	0	3	0	2	3	0	3	0	0	0	0	3	0	0	0	1	4	0	0	0	0	4	5	1	1	0	1	1	3
36	Hirudinea	Erpobdellidae	Erpobdella	NA	low	2	2	3	2	1	1	1	0	0	4	0	0	3	2	0	0	3	0	0	0	0	0	0	3	1	1	0	3	0	0	0	3	0	1	1	3	2	2	0	0	0	0	3	0	1	3	1	0	1	0	4	2	2	1	3	0	1	2	2
37	Coleoptera	Elmidae	Esolus	34	low	0	3	2	1	2	1	1	3	0	0	0	0	3	1	0	0	3	1	0	0	0	3	0	0	0	3	0	0	3	0	0	0	0	3	2	3	0	0	0	0	3	0	0	0	0	4	0	1	0	0	1	3	3	1	2	0	0	0	0
38	Amphipoda	Gammaridae	Gammarus	62.4	high	1	2	3	1	2	1	1	0	0	3	0	0	2	3	1	0	3	0	0	2	1	2	5	0	0	3	2	0	0	0	2	2	0	3	2	3	1	1	0	0	3	1	0	0	2	3	0	1	0	0	5	3	2	1	3	2	4	4	0
39	Trichoptera	Glossosomatidae	Glossosoma	49.2	low	0	2	3	1	0	3	5	0	0	0	0	3	2	0	0	3	0	0	0	2	1	2	2	0	0	1	0	1	0	3	1	0	0	3	2	3	0	0	3	0	3	1	0	0	0	1	0	0	3	0	5	0	1	0	0	3	0	0	0
40	Coleoptera	Gyrinidae	Gyrinidae_larvae	NA	low	3	1	0	0	3	0	3	0	0	0	0	0	3	1	0	0	3	1	0	NA	NA	NA	NA	NA	0	3	0	0	2	3	0	0	0	1	1	3	0	0	0	0	0	3	0	0	0	5	0	0	0	0	0	0	0	0	4	0	0	1	1
41	Trichoptera	Limnephilidae	Halesus	NA	low	1	3	2	2	1	0	5	0	0	0	0	0	0	3	1	0	3	0	0	0	0	1	2	0	0	3	0	1	0	0	0	3	0	3	1	3	1	0	3	0	3	1	0	0	0	5	0	0	0	0	4	1	1	1	1	1	0	4	1
42	Coleoptera	Haliplidae	Haliplidae_larvae	NA	low	2.333333333	1.666666667	0.666666667	0	3	0	3	0	0	0	0	0	3	1	0	0	3	1	0	NA	NA	NA	NA	NA	0	3	0	0	3	0	0	0	0	2	1	3	0	0	0	0	0	3	0	0	0	5	0	0	0	0	0.666666667	1	0.666666667	1.333333333	3.333333333	0	0.333333333	1.333333333	1.666666667
43	Coleoptera	Hydrophilidae	Helophorus	NA	low	3	1	0	0	3	0	3	0	0	0	0	0	3	1	0	0	3	1	0	NA	NA	NA	NA	NA	0	3	0	0	3	3	0	0	0	1	1	3	1	0	0	0	3	0	0	0	3	3	0	0	0	0	0	0	0	0	1	3	0	3	3
44	Ephemeroptera	Heptageniidae	Heptagenia	63.6	low	0	2	3	2	1	3	0	0	0	3	2	0	3	0	0	0	3	1	0	0	0	0	3	0	1	1	0	2	0	0	3	0	0	1	1	3	1	1	0	0	0	3	0	0	1	5	0	0	0	0	5	2	1	0	1	0	1	1	0
46	Coleoptera	Hydraenidae	Hydraena	NA	low	1	2	3	2	1	1	1	3	0	1	0	0	2	1	0	0	2	2	1	1	1	3	2	0	0	3	0	0	3	0	0	0	0	1	3	3	0	0	0	0	3	0	0	0	3	3	0	0	0	0	3	1	1	0	2	1	0	0	0
47	Coleoptera	Hydrophilidae	Hydrophilidae_larvae	NA	low	3	0.153846154	0	0	3	0	3	0	0	1	0	0	3	1	0	0	3	1	0	NA	NA	NA	NA	NA	0	3	0	0	1.769230769	1.307692308	0.307692308	0.153846154	0.230769231	2	1	3	0	0	0	0	0	3	0	0	0	5	0	0	0	0	0	0	0	0.076923077	2.846153846	3	0	3	3
48	Coleoptera	Dytiscidae	Hydroporus	NA	low	3	1	0	0	3	0	0	3	0	1	0	0	3	0	0	0	3	0	0	0	0	0	0	3	0	3	1	0	3	1	0	0	0	1	1	3	0	0	0	0	3	0	0	0	3	3	0	0	0	0	0	1	1	1	3	0	0	3	3
49	Trichoptera	Hydropsychidae	Hydropsyche	51.6	low	0	1	3	1	2	1	5	0	0	0	0	0	3	3	1	0	3	2	1	3	1	2	1	0	0	1	0	3	0	1	3	1	0	3	0	3	2	0	1	3	0	0	3	0	0	2	0	0	3	0	5	2	1	0	3	0	4	0	0
50	Trichoptera	Hydroptilidae	Hydroptilidae	29	low	1.714285714	2.571428571	1.285714286	0.428571429	3	1	2	0	3	0	0	0	2	1	0	0	2	1	0	1	1	1	3	0	NA	NA	NA	NA	3	0.571428571	0	0	0	NA	NA	3	0	0	3	0	0	0	3	0	0.285714286	2.428571429	0	0	1.428571429	0	1.857142857	0.571428571	0.428571429	0.142857143	4.285714286	0.857142857	1.142857143	0.571428571	0.428571429
51	Plecoptera	Perlodidae	Isoperla	54	low	0	1	3	2	1	0	3	0	0	1	0	0	2	1	0	3	0	0	0	3	2	3	2	0	0	3	0	0	0	1	3	0	0	2	1	1	3	0	0	0	3	2	0	0	0	4	0	1	0	0	3	2	2	0	3	0	1	2	0
52	Trichoptera	Lepidostomatidae	Lepidostoma	49.2	low	1	3	1	1	3	1	5	0	0	0	0	0	0	3	0	0	0	3	0	1	2	1	2	0	NA	NA	NA	NA	0	3	1	0	0	NA	NA	3	1	0	3	0	3	1	0	0	0	5	0	0	0	0	2	1	1	0	3	0	2	0	0
53	Ephemeroptera	Leptophlebiidae	Leptophlebia	16	low	3	2	0	0	NA	NA	5	0	0	0	0	0	0	3	0	0	0	3	0	0	1	0	3	0	1	1	0	2	0	3	1	0	0	NA	NA	2	0	2	0	0	0	1	3	0	2	4	0	1	0	0	2	1	1	0	3	0	2	3	0
54	Plecoptera	Leuctridae	Leuctra	19	low	1	2	2	2	2	1	5	0	0	0	0	0	2	3	0	0	3	2	0	5	1	2	3	0	0	3	0	0	0	3	1	0	0	3	1	3	1	0	0	0	1	3	0	0	0	5	2	1	0	0	4	3	2	2	4	0	4	2	0
55	Trichoptera	Limnephilidae	Limnephilidae	NA	low	3	3	2	1	1	0	5	0	0	0	0	0	0	3	1	0	3	0	0	0	0	1	1	0	0	3	0	1	0	0	2.307692308	1.692307692	0	3	1	3	1	0	3	0	3	1	0	0	0	5	0	0	0	0	2.153846154	1	0.692307692	0.076923077	1.769230769	0.307692308	0.538461538	2	0.461538462
56	Coleoptera	Elmidae	Limnius	49.2	low	0	3	3	2	2	1	1	3	0	0	0	0	2	1	0	0	2	1	0	1	2	3	2	0	0	3	0	0	3	0	0	0	0	2	3	3	0	0	0	0	3	0	0	0	0	4	0	1	0	0	2	3	3	1	3	0	0	0	0
57	Diptera	Limoniidae	Limoniidae	NA	low	1	1.666666667	1.333333333	1	3	0	3.857142857	0	0	0.571428571	0	1.571428571	1	0.285714286	0	2	1	0	0	0	0	0	0	3	2.571428571	0.428571429	0	0.142857143	0.333333333	2.666666667	1.333333333	0	0	1.142857143	1.285714286	3	0.714285714	0	0	0	0.142857143	0.285714286	3	0	0	1.333333333	4	0	0	0	2	2	3	2	1.666666667	0	1	3	2
58	Plecoptera	Nemouridae	Nemoura	57.6	low	1	1	2	2	2	1	5	0	0	0	0	0	0	3	2	0	2	1	0	2	2	5	3	0	0	3	0	0	1	3	0	0	0	3	2	3	0	0	0	0	3	1	0	0	0	5	0	0	0	0	2	0	0	1	5	0	1	3	0
